controller,rtt_ms,loss_pct,rate_mbps,cwnd,inflight,bodies,queue_bytes,dropped
BLIND (no control),201.2,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),205.0,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),194.9,0.0,0.582,10000000,21138,1000,14092,0
BLIND (no control),203.4,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),190.5,0.0,0.591,10000000,21138,1000,14092,0
BLIND (no control),195.6,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),201.3,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),199.6,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),205.0,0.0,0.537,10000000,21138,1000,14092,0
BLIND (no control),202.1,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),209.0,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),194.9,0.0,0.591,10000000,21138,1000,14092,0
BLIND (no control),193.3,0.0,0.574,10000000,21138,1000,14092,0
BLIND (no control),205.5,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),211.1,0.0,0.537,10000000,21138,1000,14092,0
BLIND (no control),208.0,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),215.7,0.0,0.506,10000000,21138,1000,14092,0
BLIND (no control),215.0,0.0,0.529,10000000,21138,1000,14092,0
BLIND (no control),207.2,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),205.0,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),191.6,0.0,0.6,10000000,21138,1000,14092,0
BLIND (no control),191.0,0.0,0.582,10000000,21138,1000,14092,0
BLIND (no control),199.7,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),213.5,0.0,0.522,10000000,21138,1000,14092,0
BLIND (no control),206.4,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),207.6,0.0,0.537,10000000,21138,1000,14092,0
BLIND (no control),209.2,0.0,0.538,10000000,21138,1000,14092,0
BLIND (no control),212.2,0.0,0.529,10000000,21138,1000,14092,0
BLIND (no control),205.6,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),198.2,0.0,0.563,10000000,21138,1000,14092,0
BLIND (no control),201.3,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),200.4,0.0,0.583,10000000,21138,1000,14092,0
BLIND (no control),195.3,0.0,0.558,10000000,21138,1000,14092,0
BLIND (no control),201.4,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),203.9,0.0,0.554,10000000,21138,1000,14092,0
BLIND (no control),209.0,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),202.7,0.0,0.546,10000000,21138,1000,14092,0
BLIND (no control),206.1,0.0,0.554,10000000,21138,1000,14092,0
